code,name,group_code,market
261520,이지스,ST,Q
261780,아리바이오랩,ST,Q
261920,ACE MSCI필리핀(합성),EF,K
262260,에이프로,ST,Q
262840,아이퀘스트,ST,Q
263020,디케이앤디,ST,Q
263050,유틸렉스,ST,Q
263600,덕우전자,ST,Q
263690,디알젬,ST,Q
263700,케어랩스,ST,Q
263720,디앤씨미디어,ST,Q
263750,펄어비스,ST,Q
263770,유에스티,ST,Q
263800,데이타솔루션,ST,Q
263810,상신전자,ST,Q
263860,지니언스,ST,Q
263920,휴엠앤씨,ST,Q
264450,유비쿼스,ST,Q
264660,씨앤지하이테크,ST,Q
264850,이랜시스,ST,Q
264900,크라운제과,ST,K
265520,AP시스템,ST,Q
265560,영화테크,ST,Q
265690,ACE 러시아MSCI(합성),EF,K
265740,엔에프씨,ST,Q
266160,RISE 고배당,EF,K
266360,KODEX K콘텐츠,EF,K
266370,KODEX IT,EF,K
266390,KODEX 경기소비재,EF,K
266410,KODEX 필수소비재,EF,K
266420,KODEX 헬스케어,EF,K
266550,PLUS 중형주저변동50,EF,K
267250,HD현대,ST,K
267260,HD현대일렉트릭,ST,K
267270,HD건설기계,ST,K
267290,경동도시가스,ST,K
267320,나인테크,ST,Q
267440,RISE 미국장기국채선물(H),EF,K
267450,RISE 미국장기국채선물인버스(H),EF,K
267490,RISE 미국장기국채선물레버리지(합성 H),EF,K
267770,TIGER 200선물레버리지,EF,K
267790,배럴,ST,Q
267850,아시아나IDT,ST,K
267980,매일유업,ST,Q
268280,미원에스씨,ST,K
269370,TIGER S&P글로벌인프라(합성),EF,K
269420,KODEX S&P글로벌인프라(합성),EF,K
269530,PLUS S&P글로벌인프라,EF,K
269540,PLUS 미국S&P500(H),EF,K
269620,시스웍,ST,Q
270520,앱튼,ST,Q
270660,에브리봇,ST,Q
270800,RISE KQ고배당,EF,K
270810,RISE 코스닥150,EF,K
